Gene ID,Genotype,Gender,Parameter,Fatmass,Leanmass,BoneMineralDensity,BoneMineralContent,Bodylength,BMC_Body weight,Lean_Body weight,Fat_Body weight,Bone_Area,Bodyweight
MGI:105977,G6pd2,M,ACSE_148_429948,4.548,21.442,0.0511,0.4568,9.4,0.0173688,0.815285,0.172928,8.93933,26.30000552
MGI:105977,G6pd2,M,ACSE_132_429932,4.568,20.812,0.0507,0.4423,9.3,0.0178347,0.839194,0.184194,8.72387,24.79998665
MGI:105977,G6pd2,M,ACSE_124_420424,7.069,22.141,0.0536,0.4674,9.5,0.0160619,0.760859,0.242921,8.72015,29.10000407
MGI:107624,Mvk,M,ABZY_121_345321,10.762,22.558,0.0495,0.399,9.7,0.0118398,0.669377,0.319347,8.06061,33.69999268
MGI:107624,Mvk,M,ABZY_123_345323,5.476,19.874,0.0501,0.4146,9.3,0.0149137,0.714892,0.196978,8.27545,27.80000336
MGI:107624,Mvk,M,ABZY_119_345319,6.995,20.435,0.0505,0.4216,9.5,0.0150571,0.729821,0.249821,8.34851,28.00001644
MGI:107801,Atp5b,M,AAVW_66_143866,4.592,20.778,0.0527,0.4642,9.4,0.0174511,0.781128,0.172632,8.80835,26.59999386
MGI:107801,Atp5b,M,AAVW_67_143867,5.61,21.36,0.0536,0.4744,9.5,0.0167633,0.75477,0.198233,8.85075,28.30001192
MGI:107801,Atp5b,M,AAVW_69_143869,3.647,21.333,0.0522,0.4889,9.5,0.0183109,0.798989,0.136592,9.3659,26.69999212
MGI:107927,Rock1,M,ABDT_87_230187,5.619,19.921,0.0503,0.4313,9.4,0.0162755,0.751736,0.212038,8.57455,26.49999468
MGI:107927,Rock1,M,ABDT_101_244901,3.824,23.296,0.0459,0.4802,9.5,0.0165586,0.80331,0.131862,10.4619,29.00001245
MGI:107927,Rock1,M,ABDT_88_230188,7.301,22.499,0.0515,0.431,9.5,0.0142715,0.745,0.241755,8.36893,30.2
MGI:109359,Nek2,M,ABWP_143_349643,4.091,23.929,0.0536,0.5228,9.5,0.018216,0.833763,0.142544,9.75373,28.70000228
MGI:109359,Nek2,M,ABWP_140_349640,5.083,23.157,0.0527,0.483,9.5,0.0167708,0.804062,0.176493,9.16508,28.80001791
MGI:109359,Nek2,M,ABWP_227_366627,7.125,20.925,0.0523,0.4306,9.3,0.0151088,0.73421,0.25,8.23327,28.50002043
MGI:109484,Ywhaz,M,ABFO_78_243278,5.396,23.304,0.0513,0.4646,9.2,0.0162448,0.814825,0.188671,9.05653,28.60000614
MGI:109484,Ywhaz,M,ABFO_79_243279,4.887,26.443,0.0542,0.5103,9.5,0.0160978,0.834164,0.154164,9.41513,31.70000144
MGI:109484,Ywhaz,M,ABFO_88_253688,5.665,21.835,0.0517,0.4372,9.5,0.015128,0.755536,0.196021,8.45648,28.90001271
MGI:1197006,Pipox,M,AAXY_117_172417,5.563,19.497,0.0514,0.4345,9.3,0.0170392,0.764588,0.218157,8.45331,25.50000785
MGI:1201778,Atp6v0d1,M,ABHF_101_296501,3.694,18.036,0.0464,0.3697,9,0.0162149,0.791053,0.162018,7.96767,22.79998938
MGI:1201778,Atp6v0d1,M,ABHF_100_296500,4.6,23.28,0.0526,0.5042,9.5,0.0172082,0.794539,0.156997,9.58555,29.30000919
MGI:1201778,Atp6v0d1,M,ABHF_103_296503,4.362,24.148,0.0536,0.4922,9.6,0.0162442,0.796964,0.14396,9.18284,30.29998846
MGI:1342276,Mfap4,M,ABEL_80_212480,4.422,24.108,0.0534,0.481,9.5,0.0165292,0.828454,0.151959,9.00749,29.09998624
MGI:1342276,Mfap4,M,ABEL_86_213386,5.308,23.542,0.054,0.4862,9.6,0.0164257,0.795338,0.179324,9.0037,29.59999396
MGI:1342276,Mfap4,M,ABEL_77_212477,4.413,25.207,0.0545,0.5325,9.6,0.0178691,0.845873,0.148087,9.77064,29.79998179
MGI:1344408,Pebp1,M,ACRL_41_413741,8.19,22.95,0.0526,0.4637,9.7,0.0152033,0.752459,0.268525,8.81559,30.50000066
MGI:1344408,Pebp1,M,ACRL_42_413742,5.747,27.093,0.054,0.5361,9.9,0.0165975,0.838793,0.177926,9.92778,32.29998343
MGI:1344408,Pebp1,M,ACRL_45_413745,5.962,26.798,0.0553,0.5367,10,0.0159732,0.79756,0.17744,9.70524,33.59997994
MGI:1344414,Sra1,M,AARI_90_069290,5.58,19.33,0.0507,0.4081,9.1,0.0160669,0.761024,0.219685,8.04931,25.39998739
MGI:1344414,Sra1,M,AARI_86_069286,3.977,20.573,0.0511,0.4532,9.2,0.0172319,0.782243,0.151217,8.86889,26.30001163
MGI:1344414,Sra1,M,AARI_96_073696,7.867,24.643,0.0548,0.506,9.7,0.015241,0.742259,0.236958,9.23358,33.20000162
